ID,mass_ratio,fluid_ratio,fm_ratio,calc_ratio
000575.nii.gz,0.8914525025932353,0.08851172530125154,0.09928933402931837,0.02003577210551317
000670.nii.gz,0.916466105094264,0.05784947853991175,0.06312233285917497,0.025684416365824306
001028.nii.gz,0.9135583314116983,0.05791880403238789,0.06339913067498103,0.02852286455591378
001482.nii.gz,0.7854523508652699,0.17625737576677888,0.2244023785435364,0.03829027336795121
002205.nii.gz,0.9321683429080918,0.047209303060866376,0.050644610943970915,0.02062235403104182
001739.nii.gz,0.9167195120996469,0.04856103843233044,0.05297262444115173,0.03471944946802264
002415.nii.gz,0.9066352744505963,0.06658403878087181,0.07344082086506115,0.026780686768531854
001569.nii.gz,0.902696770269638,0.07248959031860643,0.08030336731674977,0.02481363941175553
001817.nii.gz,0.9167948152551147,0.050878504911829936,0.055496065275709563,0.0323266798330553
002370.nii.gz,0.9089423939752267,0.05925646380020295,0.06519276050162756,0.03180114222457041
002215.nii.gz,0.8486097434391062,0.12769448295910277,0.15047491965105603,0.02369577360179107
000742.nii.gz,0.8993680169337663,0.07414372469197054,0.08243980583693675,0.0264882583742631
001015.nii.gz,0.8719042634976798,0.054018506340135046,0.061954630343746216,0.07407723016218519
001089.nii.gz,0.8998099829955175,0.06214442136235582,0.06906393853897196,0.03804559564212667
001365.nii.gz,0.8842075892857143,0.08683948225516622,0.09821164544099581,0.028952928459119495
001536.nii.gz,0.9275346409591012,0.032681862290935754,0.03523519321838119,0.039783496749963045
002488.nii.gz,0.8698786323284962,0.09786833998562194,0.1125080400281214,0.03225302768588186
001439.nii.gz,0.6929701340235149,0.28211753368783743,0.40711355343672606,0.024912332288647667
000052.nii.gz,0.9394791547104361,0.016348471515476144,0.01740163305753711,0.04417237377408782
000422.nii.gz,0.9198541051228821,0.03430147242902645,0.037290122681405184,0.045844422448091386
001863.nii.gz,0.8521649414789256,0.12283674988160476,0.14414668323296959,0.02499830863946959
001909.nii.gz,0.9010070446719447,0.06123759757195497,0.06796572561122591,0.037755357756100276
000300.nii.gz,0.9332152227159634,0.029221728481116822,0.03131295736483164,0.03756304880291985
002714.nii.gz,0.8975892599081005,0.04587504104412317,0.05110916885170849,0.05653569904777634
001036.nii.gz,0.6144892013025584,0.36462478664384607,0.5933786726779505,0.020886012053595537
002048.nii.gz,0.9108092599082636,0.06214544572262639,0.06823102098114994,0.027045294369110018
001654.nii.gz,0.8453748025589054,0.13130391991548318,0.15532036147520964,0.023321277525611424
001981.nii.gz,0.8774681058737911,0.0909558018753498,0.10365710305193956,0.03157609225085908
001538.nii.gz,0.8921019737187634,0.07588455703496512,0.08506264896897071,0.03201346924627142
000862.nii.gz,0.785463928524857,0.18780994756329353,0.23910703056219343,0.02672612391184943
001156.nii.gz,0.7180427152177097,0.24995394012688904,0.3481045553830364,0.032003344655401285
002654.nii.gz,0.9165955454076911,0.05528892780545657,0.06031987399727619,0.02811552678685236
000436.nii.gz,0.9573199258022765,0.011630256506408565,0.01214876677372185,0.031049817691314898
001278.nii.gz,0.8844810111210234,0.07532730185568358,0.08516553878325892,0.04019168702329296
002632.nii.gz,0.7928191636325681,0.1757019358879113,0.221616661084318,0.0314789004795206
001541.nii.gz,0.9056651898173919,0.07460064305208182,0.08237110566999208,0.019734167130526368
001198.nii.gz,0.8013037759410954,0.17341936433041366,0.21642149898362878,0.025276859728490936
000203.nii.gz,0.8960312880682183,0.04394434827210361,0.049043318974769955,0.06002436365967814
000777.nii.gz,0.788805926111059,0.1738052839305612,0.22033972892096462,0.03738878995837976
002190.nii.gz,0.9226151164427314,0.04904922245199196,0.05316325472869764,0.028335661105276643
000788.nii.gz,0.897796066607573,0.06911581703406079,0.0769838715101782,0.03308811635836617
000801.nii.gz,0.9189287059039719,0.04456579115674324,0.048497550321820466,0.036505502939284805
001461.nii.gz,0.9118867108645532,0.05406527119553762,0.059289460578144326,0.03404801793990913
000151.nii.gz,0.9480115451221859,0.018570713873388493,0.019589122061794067,0.03341774100442563
001687.nii.gz,0.9012139824094775,0.06354831242037237,0.0705141216855848,0.03523770517015018
